"filename", "language", "TypeScript", "Markdown", "JSON", "XML", "JavaScript", "JSON with Comments", "Docker", "TypeScript JSX", "PostCSS", "comment", "blank", "total"
"c:\Users\Daare\OneDrive\Desktop\pantau-magang\components\DataTable.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 146, 0, 1, 9, 156
"c:\Users\Daare\OneDrive\Desktop\pantau-magang\components\DataTableHeader.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 32, 0, 0, 4, 36
"c:\Users\Daare\OneDrive\Desktop\pantau-magang\components\ExportAttendanceButton.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 59, 0, 3, 17, 79
"c:\Users\Daare\OneDrive\Desktop\pantau-magang\components\FLocationButton.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 37, 0, 0, 3, 40
"c:\Users\Daare\OneDrive\Desktop\pantau-magang\components\FStatusDropdown.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 59, 0, 0, 2, 61
"c:\Users\Daare\OneDrive\Desktop\pantau-magang\components\FileUpload.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 193, 0, 133, 28, 354
"c:\Users\Daare\OneDrive\Desktop\pantau-magang\components\LoginButton.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 5, 26
"c:\Users\Daare\OneDrive\Desktop\pantau-magang\components\LoginInput.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 38, 0, 0, 7, 45
"c:\Users\Daare\OneDrive\Desktop\pantau-magang\components\Navbar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 58, 0, 0, 9, 67
"c:\Users\Daare\OneDrive\Desktop\pantau-magang\components\NavigationButton.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 7, 28
"c:\Users\Daare\OneDrive\Desktop\pantau-magang\components\PhotoUpload.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 83, 0, 4, 12, 99
"c:\Users\Daare\OneDrive\Desktop\pantau-magang\components\PieChart.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 66, 0, 6, 7, 79
